CATEGORÍA,CÓDIGO,DESCRIPCIÓN,STOCK,PRECIO DÓLARES,GARANTÍA,MARCA,PROMOCIÓN,DETALLE PROMOCIÓN
impresora multifun laser,prhpljm430f,"impresora hp laserjet enterprise mfp m430, imprime/escanea/copia/fax/usb 2.0/lan[@@@]",20,668.33,W,hp invent comercial,,
"impresora, accesorios de",zzzfexbanermate,flex banner 500d*300d/18*12 440gsm 3.2m*50m[@@@],20,140.7,Z,deltron,,
materiales-administracion,zzbookworka1,cuaderno de trabajo nivel a1,20,9999999.99,Y,edusoft,,
materiales-administracion,zzbookworka2,cuaderno de trabajo nivel a2,20,9999999.99,Y,edusoft,,
materiales-administracion,zzbookworkb1,cuaderno de trabajo nivel b1,20,9999999.99,Y,edusoft,,
merchandising,accampliftvcel,tv amplificar 3d para celular,20,15.08,D,deltron,,
merchandising,accampltvceleps,tv amplificar deltron epson,20,15.08,Z,deltron,,
merchandising,acchalfbiken,bicicleta de pie negro,2,201.0,Z,deltron,,
merchandising,acchalfbiker,bicicleta de pie rojo,2,201.0,Z,deltron,,
merchandising,accminventdel,ventilador portatil deltron,6,10.05,Z,deltron,,
merchandising,acdeltronbageco,bolsa eco deltron 50x40x15,20,8.04,Z,deltron,,
merchandising,acepsonbolsa,bolsa epson 50 x 40 cm,20,10049.0,Z,deltron,,
merchandising,acepsonbolsa2,bolsa epson 50x40 cm,20,669.33,Z,deltron,,
merchandising,acexhibidor,mueble exhibidor,20,46.23,Z,deltron,,
merchandising,achiconhzb16g,maquina de hielo hicon hzb16g,20,100.5,D,zz otras marcas,,
merchandising,acintegrabolsag,bolsa integracion 50 x 40 cm,20,669.33,Z,deltron,,
merchandising,aclenovobolsag,bolsa lenovo 50 x 40 cm green,20,669.33,Z,deltron,,
merchandising,aclenovobolsar,bolsa lenovo 50 x 40 cm red,20,669.33,Z,deltron,,
merchandising,acpinadvcorazon,pin logo advance corazon,20,100.5,Z,advance computer corp,,
merchandising,acpinepson,pin logo epson,2,9.05,Z,deltron,,
merchandising,acpinlogoadv,pin logo advance,20,100.5,Z,advance computer corp,,
merchandising,acpinlogoteros,pin logo teros,20,50.25,Z,teros,,
merchandising,acpinteroscoraz,pin logo teros corazon,20,50.25,Z,teros,,
merchandising,acpololencuello,polo lenovo con cuello azul,20,20.1,Z,deltron,,
merchandising,acterosbageco15,bolsa ecologica teros 50x40x15,20,15.08,Z,teros,,
merchandising,acteroseco15pen,bolsa ecologica teros peru n,20,50.25,Z,teros,,
merchandising,acteroseco15per,bolsa ecologica teros peru r,20,50.25,Z,teros,,
merchandising,zzcaja,cajas,6,9999999.99,Z,zz otras marcas,,
merchandising,zzccolercampred,cooler camping y sillas rojo,13,669.33,Z,zz otras marcas,,
merchandising,zzpolo1epson,polos epson,20,19.1,Z,epson,,
merchandising,zzpoloblancoeps,polo blanco epson industrial,20,50.25,Z,epson,,
merchandising,zzresaltadoreps,resaltador epson,20,9.05,Z,epson,,
merchandising,zzzdekeychain19,3 in 1 keychain cable deltron,20,2.01,D,deltron,,
