CATEGORÍA,CÓDIGO,DESCRIPCIÓN,STOCK,PRECIO DÓLARES,GARANTÍA,MARCA,PROMOCIÓN,DETALLE PROMOCIÓN
cases sin fuente p/gamers,csmspano100rpzn,"case msi mag mag pano 100r pz, mini-itx, micro-atx, atx, mid tower[@@@]puertos: 2 x u",2,101.4,F,msi,,
cases sin fuente p/gamers,csmspano100rpzw,"case msi mag pano 100r pz white, mini-itx, micro-atx, atx, mid tower[@@@]puertos: 2 x",2,107.03,F,msi,,
cases sin fuente p/gamers,csmspanoa100lpn,"case msi mag pano 100l pz, mid tower[@@@]puertos:2 x usb 3.2 gen 1 type-a / 1 x usb 3",1,80.9,F,msi,,
cases sin fuente p/gamers,csmspanoa100lpw,"case msi mag pano 100l pz white, mid tower[@@@]puertos: 2 x usb 3.2 gen 1 type-a / 1 ",4,86.33,F,msi,,
"cases, accesorios",accte7051n,cable divisor argb teros te-7051n[@@@]el cable divisor argb teros te-7051n es una sol,3,0.6,D,teros,,
"cases, fuente para",psua25bkte1315s,"fuente de alimentación teros te-1315s, formato atx, 250w, 115v / 230v[@@@]la fuente d",20,9.95,D,teros,,R7031: GRATIS(MOUSE STD USBTE1222 BK)POR LA COMPRA DE PSU STD ATX 250W TE1315 BK
"cases, fuente para gaming",psgbud750gm,"fuente de alimentación gigabyte gp-ud750gm, 750w,atx, 80 plus gold, 100v ~ 240vac.[@@",3,84.42,P,gigabyte,,
"cases, fuente para gaming",psgbud750gmpg5,"fuente de alimentación gigabyte ud750gm pg5, 750w, 80 plus gold certified, formato at",0,90.35,P,gigabyte,,
"cases, fuente para gaming",psmsa750bnpcie5,"fuente de alimentación msi mag a750bn pcie5, 750w, 80 plus bronze, formato atx.[@@@]",20,60.55,P,msi,,
"cases, fuente para gaming",psmsmaga650bn,"fuente de alimentación msi mag a650bn, 650w, 80 plus bronze certified, formato atx.[@",20,48.74,P,msi,,
"cases, fuente para gaming",psmsmpga850gp5,"fuente de alimentación msi mpg a850g pcie5, 850w,80 plus gold certified, formato atx.",8,103.01,P,msi,,
"cases, fuente para gaming",te7175wgold,"fuente de alimentación teros te-7175, atx, 750w, 80 plus gold, 100v-240vac, certifica",20,50.25,D,teros,,R6763: GRATIS(KB MS TEROS TE-4061N) POR LA COMPRA DE (2) FUENTE TE7175 750W 80 P GOLD; R6827: PROMOCION (10+1) POR LA COMPRA DE FUENTE TE7175 750W 80 P GOLD
comercial tanque tinta mu,prepl15150-n,"multifuncional de tinta epson ecotank l15150, imprime/escanea/copia/fax/wi-fi/usb/eth",20,884.4,W,epson,,
comercial tanque tinta mu,prepwfc5810,"multifuncional de tinta epson workforce pro wf-c5810, imprime/escanea/copia/fax/lan/w",9,399.99,W,epson,,R6836: EPSON WF-C5810 + TINTA T11B NEGRA GRATIS
comercial ticketera,preptmt20iii,"impresora termica epson tm-t20iii, velocidad de impresión 250 mm/seg, interfaz usb.[@",20,149.64,P,epson,,
comercial ticketera,preptmt20iiieth,"impresora termica epson tm-t20iii velocidad de impresión 250 mm/seg interfaz usb, eth",3,194.47,W,epson,,
comercial ticketera,preptmt20iiil,"impresora termica de recibos epson tm-t20iiil, interfaz: usb+serial (rs-232)[@@@]impr",16,132.66,W,epson,,R7385: Compra 10 Impresoras Epson TM-T20IIIL y llevate 1 gratis !  Pprorrateado desde $118.2+igv
computadora aio core i5,pcas90pt03t2m0,"all-in-one asus a3402wvak-bpc0840, 23.8 lcd fhd ips, core i5-1335u hasta 4.6ghz, 8gb",0,725.61,W,asus - comercial,,
computadora core i7,pclen12je0005ls,"computadora lenovo thinkcentre neo 50s gen 4, core i7-13700 2.1/5.2ghz 16gb ddr4-3200",15,1034.15,W,lenovo - thinkpad,,R6681: GRATIS (MONITOR MON27FTE2713S) POR LA COMPRA DE PC NEO 50S CI7-13/16/1SS/W11P DESDE $899+IGV
consumo tanque tinta,prepl1250-n,"impresora de tinta epson ecotank l1250, imprime /inalambrica / usb de alta velocidad[",20,126.63,Y,epson,,R7102: Compra 08 Impresoras Epson L1250 y llevate 01 gratis! P. Prorrateado desde $ 112.00+ igv
consumo tanque tinta,prepm1120-n,"impresora de tinta continua epson ecotank m1120, 32 ppm, 1440x720 dpi, usb 2.0 / wi-f",1,152.36,W,epson,,
consumo tanque tinta mult,prepl14150,"multifuncional de tinta epson ecotank l14150, imprime/escanea/copia/fax/wi-fi/usb/eth",20,527.63,W,epson,,
consumo tanque tinta mult,prepl3210,"multifuncional de tinta epson ecotank l3210, imprime / escanea / copia / usb[@@@]velo",14,152.26,W,epson,,R7104: Compra 06 Munltifunc Epson L3210 y llevate 01 gratis! P. Prorrateado desde $ 129.86+ igv
consumo tanque tinta mult,prepl3210-n,"multifuncional de tinta epson ecotank l3210, imprime / escanea / copia / usb[@@@]velo",20,152.26,W,epson,,R7103: Compra 06 Munltifunc Epson L3210 y llevate 01 gratis! P. Prorrateado desde $ 129.86+ igv
consumo tanque tinta mult,prepl3250,"multifuncional de tinta epson l3250, usb de alta velocidad (compatible con usb 2.0)[@",2,173.76,W,epson,,R7106: Compra 05 Multifunc Epson L3250 y llevate 01 gratis! P. Prorrateado desde $ 144.09+ igv
consumo tanque tinta mult,prepl3250-n,"multifuncional de tinta epson l3250, usb de alta velocidad (compatible con usb 2.0)[@",20,173.76,W,epson,,R7105: Compra 05 Multifunc Epson L3250 y llevate 01 gratis! P. Prorrateado desde $ 144.09+ igv
consumo tanque tinta mult,prepl4260-n,multifuncional de tinta epson ecotank l4260 imprime / escanea / copia / usb / inalamb,0,205.52,W,epson,,R7108: Compra 8 Multifunc Epson L4260 y llevate 01 gratis! P. Prorrateado desde $ 180.44+ igv
consumo tanque tinta mult,prepl5590,"impresora multifuncional epson ecotank l5590, imprime/escanea/copia/fax/usb/lan/wi-fi",0,229.04,W,epson,,R7109: Compra 10 Multifunc Epson L5590 y llevate 01 gratis! P. Prorrateado desde $ 206.73+ igv
consumo tanque tinta mult,prepl5590-n,"impresora multifuncional epson ecotank l5590, imprime/escanea/copia/fax/usb/lan/wi-fi",0,229.04,Y,epson,,R7110: Compra 10 Multifunc Epson L5590 y llevate 01 gratis! P. Prorrateado desde $ 206.73+ igv
consumo tanque tinta mult,prepl62701,"impresora multifuncional epson ecotank l6270, imprime/escanea/copia/lan/wi-fi[@@@]pan",20,317.08,W,epson,,
consumo tanque tinta mult,prepl8180,"multifuncional de tinta epson ecotank l8180, imprime/escanea/copia, lan/wi-fi/usb 2.0",4,773.85,W,epson,,
consumo tanque tinta mult,prepm2170-n,"multifuncional de tinta epson ecotank et-m2170, imprime/escanea/copia, usb/lan/wifi.[",2,271.35,W,epson,,
consumo tanque tinta mult,prepwfcm3170-n,"multifuncional de tinta epson ecotank et-m3170, imprime/escanea/copia/fax, usb/lan/wi",2,294.47,W,epson,,
consumo tanque tinta mult,prhp1f3y2a,"impresora all-in-one de tinta hp smart tank 580, imprime, escanea, copia/wi-fi/bt/usb",20,150.75,W,hp consumo,$127.00,R6883: Detalle de #PROMOCIONR6883
consumo tanque tinta mult,prhpsmart750,"multifuncional de tinta hp smart tank 750, impresión/escaneo/copia/wi-fi/bluetooth le",10,285.42,W,hp consumo,,R6897: SUPER PROMO HP Smart Tank 750 Compra 2+1 MOCHILA TEROS
consumo tanque tinta mult,prhpsmart790,"mltifuncional de tinta hp smart tank 790, imprime/escanea/copia/fax/wi-fi/usb/etherne",6,313.06,Y,hp consumo,,R6904: SUPER PROMO HP Smart Tank 790 Compra 2+1 MOCHILA TEROS
consumo tanque tinta mult,prhpsmrtank720,"multifuncional de tinta hp smart tank 720, impresión/escaneo/copia/wi-fi/bluetooth le",20,208.04,W,hp consumo,,R6890: SUPER PROMO HP Smart Tank 720 Compra 2+1 MOCHILA TEROS
consumo tanque tinta mult,prhpst585,"multifuncional de tinta hp smart tank 585, impresión/escaneo/copia/wi-fi/bluetooth le",20,150.75,Y,hp consumo,,
cooler liquido cpu 240,accpute8164n,"cooler para procesador teros te-8164n, intel y amd, tdp 265w máx, 24 cm, líquida[@@@]",20,45.12,D,teros,,R6774: GRATIS(MOUSE PAD+MOUSE STD USBTE1222 ) POR LA COMPRA DE COOLER PARA CPU TE-8164N LIQU; R6453: PROMO LOCURA!! A TAN SOLO $41.9+IGV POR LA COMPRA DE (3UN) COOLER PARA CPU TE-8164N LIQU
cooler liquido cpu 240,acmscorlqa1324w,refrigeracion líquida msi mag coreliquid a13 240 white / cantidad de ventiladores: 2[,2,57.49,F,msi,,
cooler liquido cpu 240,acmscorlqe240w,"refrigeracion líquida msi mag coreliquid e240 / cantidad de ventiladores: 2, color bl",1,91.96,F,msi,,
cooler liquido cpu 360,acmscorle360mhe,refrigerador líquido de cpu msi mag coreliquid e360 monster hunter edition[@@@]el ref,3,128.54,P,msi,$112.90,R7410: Detalle de #PROMOCIONR7410
cpu amd athlon sam4,cpam4nat3000g,"procesador amd athlon 3000g, 3.50ghz, 4mb l3 cache, 2-cores, am4, 14nm, tdp: 35w.[@@@",0,40.45,P,amd-advanced micro device,,
cpu amd ryzen 5 sam4 3xxx,cpam4r53600,"procesador amd ryzen 5 3600, 3.6 / 4.2ghz, 32mb l3 cache, 6-cores, am4, 7nm, tdp: 65w",10,193.86,P,amd-advanced micro device,,
cpu amd ryzen 5 sam4 4xxx,cpam4r54500,"procesador amd ryzen 5 4500, 3.6 / 4.1 ghz, 8mb l3, 6-core, am4, 7nm, 65w.[@@@]no inc",0,67.84,P,amd-advanced micro device,,
cpu amd ryzen 5 sam4 5xxx,cpam4r55500,"procesador amd ryzen 5 5500, 3.60 / 4.20 ghz, 16mb l3 cache, 6-cores, am4, 7nm, 65w.[",20,71.36,P,amd-advanced micro device,,
cpu amd ryzen 5 sam4 5xxx,cpam4r55600,"procesador amd ryzen 5 5600, 3.50 / 4.40 ghz, 32mb l3 cache, 6-cores, am4, 7nm, 65w.[",20,118.49,P,amd-advanced micro device,,
cpu amd ryzen 5 sam4 5xxx,cpam4r55600gt,"procesador amd ryzen 5 5600gt, 3.60 / 4.60 ghz, 16mb l3, 6 core, am4, 7nm, 65w.[@@@]i",20,126.53,P,amd-advanced micro device,,
cpu amd ryzen 5 sam4 5xxx,cpam4r55600x,"procesador amd ryzen 5 5600x, 3.70ghz, 32mb l3, 6core, am4, 7nm, 65w.[@@@]no integra ",17,133.16,P,amd-advanced micro device,,
cpu amd ryzen 5 sam5 7xxx,cpam5r57600x,"procesador amd ryzen 5 7600x 4.7/5.3ghz, 32mb l3,6-core, am5, 5nm, 105w.[@@@]integra ",13,211.95,P,amd-advanced micro device,,
cpu amd ryzen 5 sam5 8xxx,cpam5r58600g,"procesador amd ryzen 5 8600g 4.30 / 5.00 ghz, 16mb l3 cache, 6-cores, 4nm, tdp: 65w[@",15,175.37,P,amd-advanced micro device,,
cpu amd ryzen 5 sam5 9xxx,cpam5r59600x,"procesador amd ryzen 5 9600x 3.90 / 5.40 ghz, 32mb l3 cache, 6-cores, 4nm, tdp: 65w[@",2,240.7,P,amd-advanced micro device,,
cpu amd ryzen 7 sam4 5xxx,cpam4r75700g,"procesador amd ryzen 7 5700g, 3.80 / 4.60ghz, 16mb l3, 8-core, am4, 7nm, 65w.[@@@]inc",20,135.57,P,amd-advanced micro device,,
cpu amd ryzen 7 sam4 5xxx,cpam4r75700x,"procesador amd ryzen 7 5700x, 3.40 / 4.60ghz, 32mb l3 cache, 8-core, am4, 7nm, 65w.[@",7,169.54,P,amd-advanced micro device,,
cpu amd ryzen 7 sam5 7xxx,cpam5r77700x,"procesador amd ryzen 7 7700x 4.5/5.4ghz, 32mb l3,8-core, am5, 105w.[@@@]integra contr",17,306.42,P,amd-advanced micro device,,
cpu amd ryzen 7 sam5 8xxx,cpam5r78700g,"procesador amd ryzen 7 8700g 4.20 / 5.10 ghz, 16mb l3 cache, 8-cores, 5nm, tdp: 65w[@",8,265.82,P,amd-advanced micro device,,
cpu amd ryzen 7 sam5 9xxx,cpam5r79700x,"procesador amd ryzen 7 9700x 3.80 / 5.50 ghz, 32mb l3 cache, 6-cores, 4nm, tdp: 65w[@",5,332.66,P,amd-advanced micro device,,
cpu amd ryzen 7 sam5 9xxx,cpam5r79800x3d,"procesador amd ryzen 7 9800x3d, 4.7ghz, 96mb l3, 8 core, am5, 4nm, 120w.[@@@]integra ",7,484.31,P,amd-advanced micro device,,
cpu amd ryzen 9 sam5 7xxx,cpam5r97950x,"procesador amd ryzen 9 7950x 4.5/5.7ghz, 64mb l3,16-core, am5, 5nm, 170w.[@@@]integra",4,478.28,P,amd-advanced micro device,,
cpu amd ryzen 9 sam5 9xxx,cpam5r99900x,"procesador amd ryzen 9 9900x 4.40 / 5.60 ghz, 64mb l3 cache, 12-cores, 4nm, tdp: 120w",6,401.9,P,amd-advanced micro device,,
cpu amd ryzen 9 sam5 9xxx,cpam5r99950x,"procesador amd ryzen 9 9950x 4.30 / 5.70 ghz, 64mb l3 cache, 16-cores, 4nm, tdp: 170w",1,571.85,P,amd-advanced micro device,,
cpu celeron s1200 gxxxx,cpilg5905,"procesador intel celeron g5905, 3.50 ghz, 4 mb caché l3, lga1200, 58w, 14 nm.[@@@]con",9,43.16,W,intel corp,,
cpu ci3 10xxx s1200,cpili310105,"procesador intel core i3-10105, 3.70 / 4.40 ghz, 6 mb caché l3, lga1200, 65w, 14 nm.[",20,86.93,W,intel corp,,
cpu ci3 10xxx s1200,cpili310105f,"procesador intel core i3-10105f 3.70 / 4.40 ghz, 6 mb caché l3, lga1200, 65w, 14 nm.[",1,63.32,W,intel corp,,
cpu ci3 12xxx s1700,cpili312100,"procesador intel core i3-12100 3.3 / 4.3ghz 12mb intel smart caché, lga1700, intel 7(",9,108.44,W,intel corp,,
cpu ci3 12xxx s1700,cpili312100f,"procesador intel core i3-12100f, 3.30/4.30ghz, 12mb smartcaché, lga1700, intel 7(10nm",8,75.88,W,intel corp,,
cpu ci3 13xxx s1700,cpili313100,"procesador intel core i3-13100 3.40/4.50ghz 12mb smartcache lga1700, 60w, intel 7(10n",10,114.07,W,intel corp,,
cpu ci3 13xxx s1700,cpili313100f,"procesador intel core i3-13100f 3.40/4.50ghz 12mbsmartcache lga1700, 58w, intel 7(10n",1,75.88,W,intel corp,,
