
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2025-03-17 04:20:38
,"Almacen(es) :,'HUANCAYO'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.660"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
"consumo tanque tinta mult","prepl62701","impresora multifuncional epson ecotank l6270, imprime/escanea/copia/lan/wi-fi[@@@]pan",19,317.08, ,"","W","epson"
"consumo tanque tinta mult","prhpst585","multifuncional de tinta hp smart tank 585, impresión/escaneo/copia/wi-fi/bluetooth le",10,150.75, ,"","Y","hp consumo"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COOLER LIQUIDO CPU 120","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cooler liquido cpu 120","accpute8163n","cooler para procesador teros te-8163n, intel y amd, tdp 155w máx, 12 cm, líquida[@@@]",2,31.05, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COOLER LIQUIDO CPU 240","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cooler liquido cpu 240","accpute8164n","cooler para procesador teros te-8164n, intel y amd, tdp 265w máx, 24 cm, líquida[@@@]",12,45.12, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 3 SAM5 8XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 3 sam5 8xxx","cpam4r35300g","procesador amd ryzen 3 5300g, 4.00 / 4.20 ghz, 8mb l3, 4 core, am4, 7nm, 65w.[@@@]inc",2,88.94, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM4 3XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam4 3xxx","cpam4r53600","procesador amd ryzen 5 3600, 3.6 / 4.2ghz, 32mb l3 cache, 6-cores, am4, 7nm, tdp: 65w",1,193.86, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM4 4XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam4 4xxx","cpam4r54500","procesador amd ryzen 5 4500, 3.6 / 4.1 ghz, 8mb l3, 6-core, am4, 7nm, 65w.[@@@]no inc", ,67.84, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM4 5XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam4 5xxx","cpam4r55500","procesador amd ryzen 5 5500, 3.60 / 4.20 ghz, 16mb l3 cache, 6-cores, am4, 7nm, 65w.[",1,71.36, ,"","P","amd-advanced micro device"
"cpu amd ryzen 5 sam4 5xxx","cpam4r55600gt","procesador amd ryzen 5 5600gt, 3.60 / 4.60 ghz, 16mb l3, 6 core, am4, 7nm, 65w.[@@@]i",>20,126.53, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
